In City,User Verified,Validated Address,Validated Unit Type and No.,Validated Zip Code,Raw Address,Raw Unit Type With Number,Raw City,Raw State,Raw Zipcode,Guest ID,First Name,Last Name,Household Total,Rx Total,9,18,Food,Rx Asst
Yes,,150 Chevy Chase St,Unit 102,,150 Chevy Chase St,Unit 102,Gaithersburg,MD,20878,1003,Bobby,Hill,2,,{},{},"{""Q4"":[""5/28/2023""]}",{}
Yes,,405 Christopher Ave,Apt T3,20879,405 Christopher Ave,Apt T3,Gaithersburg,MD,20879,2260,Thirst,Hunger,1,,{},"{""Q2"":[""12/5/2023  11:00:00 AM""]}",{},{}
Yes,,9 E Deer Park Dr,Apt 305,20877,9 E Deer Park Dr,Apt 305,Gaithersburg,MD,20877,7728,Moxie Doxie,Manifold Populate,3,,{},{},"{""Q3"":[""2/28/2023""]}",{}
Yes,,13-15 E Deer Park Dr,Apt 202,20877,13-15 E Deer Park Dr,Apt 202,Gaithersburg,MD,20877,4125,Nutcase,Pendleton,9,,{},{},"{""Q3"":[""1/7/2023""]}",{}
No,,2 Gentle Ct,,20886,2 Gentle Ct,,Gaithersburg,MD,20886,7511,Apple,Banana,5,,{},{},"{""Q1"":[""7/7/2023""]}",{}
Yes,,413 Muddy Branch Rd,Apt T2,20878,413 Muddy Branch Rd,Apt T2,Gaithersburg,MD,20878,7514,Music,Quartet,8,,"{""Q1"":[""9/2/2023""]}",{},"{""Q1"":[""7/5/2023""]}",{}
Yes,,534 Odend'hal Ave,Apt 5,20877,534 Odend'hal Ave,Apt 5,Gaithersburg,MD,20877,6570,Supine,Yellow Orchard Juke,6,"{""Q3"":{""1/31/2023"":22,""2/15/2023"":45},""Q4"":{""4/14/2023"":11}}",{},{},"{""Q3"":[""1/31/2023"",""2/15/2023""],""Q4"":[""4/14/2023"",""5/31/2023""]}",{}
Yes,,200 Olde Towne Ave,Apt 202,20877,200 Olde Towne Ave,Apt 202,Gaithersburg,MD,20877,6842,Justin,Case,3,,{},{},"{""Q3"":[""3/21/2023""]}",{}
Yes,,28 O'neill Dr,Apt 1,20877,28 O'neill Dr,Apt 1,Gaithersburg,MD,20877,7685,Anita,Thapa,5,,{},{},"{""Q4"":[""6/25/2023""]}",{}
Yes,,20 O'neill Dr,Apt 5,20877,20 O'neill Dr,Apt 5,Gaithersburg,MD,20877,6570,Supine,Yellow Orchard Juke,6,,{},{},"{""Q4"":[""4/14/2023"",""5/31/2023""]}",{}
Yes,,9 Park Ave,Ste 100,20877,9 Park Ave,Ste 100,Gaithersburg,MD,20877,1001,Knife,Fightin,3,,{},{},"{""Q3"":[""3/28/2023""]}",{}
Yes,,3 Prism Pl,Apt 202,20877,3 Prism Pl,Apt 202,Gaithersburg,MD,20877,4125,Nutcase,Pendleton,9,,{},{},"{""Q2"":[""10/7/2023""]}",{}
Yes,,742 Quince Orchard Blvd,Apt T1,20878,742 Quince Orchard Blvd,Apt T1,Gaithersburg,MD,20878,6468,Jupiter,Quinoa,1,"{""Q2"":{""10/3/2023"":28}}",{},{},{},"{""Q2"":[""10/3/2023""]}"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
