Visit on,Tracking Method,Guest ID,First Name,Last Name,Address,Apartment/Suite,City/Town,State/Province,Zip/Postal Code,Total Individuals,--- TOTAL Rx COSTS (number only 0.00),,,,Test Notes
1/1/2023 0:00,Food,1,1,1,2 n ct,,mont village,MD,20877,2,,,,,"invalid address and city, valid zip code"
2/1/2023 0:00,Food,2,2,2,2 nina ct,,gaithburg,MD,20878,1,,,,,address that will be autocorrected to in Gaithersburg 20877
3/1/2023 0:00,Food,3,3,3,14101 darntown rd,,darntown,MD,20877,1,,,,,address that will be autocorrected to outside of Gaithersburg 20874
4/1/2023 0:00,Food,4,4,4,17701 New Hampshire Ave,,Ashton,MD,20861,1,,,,,real address
1/2/2023 0:00,Food,1,1,1,2 n ct,,mont village,MD,20877,2,,,,,duplicate
5/1/2023 0:00,Food,5,5,5,,,Ashton,MD,20906,1,,,,,rest of these should be non-autocorrectable
6/1/2023 0:00,Food,6,6,6,,,Aspen Hill,MD,20906,1,,,,,
7/1/2023 0:00,Food,7,7,7,,,Ashton,MD,20916,1,,,,,
8/1/2023 0:00,Food,8,8,8,,,Aspen Hill,MD,20916,1,,,,,
9/1/2023 0:00,Food,9,9,9,,,,MD,20839,1,,,,,
10/1/2023 0:00,Food,10,10,10,,,,MD,20838,1,,,,,
11/1/2023 0:00,Food,11,11,11,,,,MD,20813,1,,,,,
12/1/2023 0:00,Food,12,12,12,,,,MD,20814,1,,,,,
1/1/2023 0:00,Food,13,13,13,,,Bethesda,MD,20815,1,,,,,
2/1/2023 0:00,Food,14,14,14,,,,MD,20816,1,,,,,
3/1/2023 0:00,Food,15,15,15,,,,MD,20817,1,,,,,
4/1/2023 0:00,Food,16,16,16,,,,MD,20824,1,,,,,
5/1/2023 0:00,Food,17,17,17,,,Bethesda,MD,20825,1,,,,,
6/1/2023 0:00,Food,18,18,18,,,,MD,20827,1,,,,,
7/1/2023 0:00,Food,19,19,19,,,Bethesda,MD,20852,1,,,,,
8/1/2023 0:00,Food,20,20,20,,,,MD,20841,1,,,,,
